ENAME	DNAME	JOB	EMPNO	HIREDATE	LOC
ADAMS	RESEARCH	CLERK	7876	23-May-87	DALLAS
ALLEN	SALES	SALESMAN	7499	20-Feb-81	CHICAGO
BLAKE	SALES	MANAGER	7698	1-May-81	CHICAGO
CLARK	ACCOUNTING	MANAGER	7782	9-Jun-81	NEW YORK
FORD	RESEARCH	ANALYST	7902	3-Dec-81	DALLAS
JAMES	SALES	CLERK	7900	3-Dec-81	CHICAGO
JONES	RESEARCH	MANAGER	7566	2-Apr-81	DALLAS
KING	ACCOUNTING	PRESIDENT	7839	17-Nov-81	NEW YORK
MARTIN	SALES	SALESMAN	7654	28-Sep-81	CHICAGO
MILLER	ACCOUNTING	CLERK	7934	23-Jan-82	NEW YORK
SCOTT	RESEARCH	ANALYST	7788	19-Apr-87	DALLAS
SMITH	RESEARCH	CLERK	7369	17-Dec-80	DALLAS
TURNER	SALES	SALESMAN	7844	8-Sep-81	CHICAGO
WARD	SALES	SALESMAN	7521	22-Feb-81	CHICAGO
